Methode;Temps Execution;Erreur Trajectoire Moyenne (u);Variation Energie Moyenne (%)
Euler;0m 3.03s;7.4986 u;222.6825 %
Runge-Kutta 4;0m 13.78s;2.8467 u;0 %
Adams-Bashforth 4;0m 11.36s;760.9721 u;1215406.0752 %
Dormand-Prince;0m 38.72s;2.8467 u;0 %
Heun;0m 5.76s;2.8468 u;0.0028 %
Velocity Verlet;0m 5.35s;5.3907 u;109.9579 %
